halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
1315900097124,12064108052480.00,182350905344.0,12246458564608.0
3769600030134,11540908474368.00,118300770304.0,11659208818688.0
4360600059137,14140787654656.00,172012158976.0,14312800256000.0
4084400139137,12306184404992.00,246165291008.0,12552350203904.0
3520900079127,9778691571712.00,344468193280.0,10123159273472.0
5973400029127,10775632543744.00,204004818944.0,10979637198848.0
4050300114137,10726176456704.00,145690460160.0,10871866654720.0
1710600189131,11517482237952.00,315139817472.0,11832622317568.0
3886300052124,25111834918912.00,631249895424.0,25743083962368.0
4944600080131,16979832340480.00,362177888256.0,17342010490880.0
3815400107121,18478723497984.00,410552401920.0,18889276653568.0
5714500113127,12509182427136.00,220397830144.0,12729580519424.0
6378000097127,9940076855296.00,346640547840.0,10286717206528.0
6727800072127,16180944306176.00,497549443072.0,16678493618176.0
2301100083137,12150006349824.00,838686670848.0,12988693086208.0
3946000093131,13336694489088.00,168106885120.0,13504801144832.0
723000043131,14976106364928.00,254990696448.0,15231096979456.0
3558500077131,11199918899200.00,111750692864.0,11311669837824.0
3512600077137,13890971762688.00,297458958336.0,14188430753792.0
717300187127,13622941057024.00,187585806336.0,13810527109120.0
6491700151137,13128515452928.00,249363136512.0,13377878360064.0
1860100020121,15827039420416.00,200702590976.0,16027742109696.0
1494000099134,13445988614144.00,306887426048.0,13752876400640.0
5451200020137,10541364936704.00,155118452736.0,10696482881536.0
4853700110137,12693941518336.00,294362021888.0,12988304064512.0
2136000188124,10697544040448.00,124823937024.0,10822367576064.0
4147700027134,35593660661760.00,470661464064.0,36064320290816.0
5633600131121,14728894087168.00,276560805888.0,15005454958592.0
3369300082127,21617025482752.00,219808284672.0,21836834275328.0
435900092134,12327008075776.00,249225019392.0,12576232570880.0
2817400064134,11897516589056.00,158126276608.0,12055642898432.0
6352300021137,28754971721728.00,608075186176.0,29363047235584.0
3031200030134,18080579190784.00,310479650816.0,18391058350080.0
4225900040137,10908384362496.00,214454353920.0,11122839126016.0
326200065134,12522193158144.00,186243612672.0,12708437032960.0
4527600155127,17253067128832.00,447593086976.0,17700661231616.0
2643900155124,19709581852672.00,320427622400.0,20030009901056.0
1812700072131,10320111206400.00,437287452672.0,10757398855680.0
416000144124,10994282659840.00,89222627328.0,11083504943104.0
136100041131,12438921543680.00,110957780992.0,12549879758848.0
277400170137,11988621066240.00,184639700992.0,12173260619776.0
3315400114121,11020312510464.00,87967105024.0,11108279648256.0
934000044131,16357896749056.00,348058845184.0,16705955823616.0
1593800144131,21239699603456.00,208416768000.0,21448116666368.0
560500053137,10728779022336.00,52431134720.0,10781209919488.0
5091900097137,10187359387648.00,177279975424.0,10364638986240.0
5608900093127,10166535716864.00,187901673472.0,10354437390336.0
4245300123127,10577806098432.00,133429534720.0,10711235297280.0
1396500080121,15022947303424.00,303741216.0,15023251390464.0
3766300095131,15717745295360.00,129961017344.0,15847705804800.0
1447600108134,24154210304000.00,595331645440.0,24749541425152.0
132600177127,10442451714048.00,181745647616.0,10624197197824.0
5124000137121,11874090352640.00,213114650624.0,12087205036032.0
5216800123131,10609042128896.00,116556398592.0,10725598691328.0
2363700041131,9875002228736.00,153320095744.0,10028321865728.0
561000187131,11322258358272.00,229661982720.0,11551920619520.0
7513500188127,13138924666880.00,200896708608.0,13339821342720.0
4338000066131,14393205063680.00,246937075712.0,14640142614528.0
70100100137,10002547867648.00,229795938304.0,10232343298048.0
1683200099134,20740069916672.00,374525624320.0,21114596098048.0
1049200158121,11507069878272.00,221545349120.0,11728615112704.0
4643900047127,11137446838272.00,136444723200.0,11273891741696.0
7050200175137,10387789447168.00,111973376000.0,10499762683904.0
4805000037131,17190612893696.00,361360064512.0,17551973154816.0
6869900040127,14247479214080.00,300971884544.0,14548450934784.0
3202800190124,26574294351872.00,557280526336.0,27131574747136.0
3184800070137,16956411346944.00,378059194368.0,17334470180864.0
4432200068137,16805481414656.00,431524315136.0,17237006090240.0
1679500046137,13328887840768.00,228494999552.0,13557383036928.0
4422800125131,14838188212224.00,264216035328.0,15102404198400.0
2273800099134,16251204141056.00,483760406528.0,16734964678656.0
6957900190137,40446839488512.00,23451738112.0,40470289842176.0
7401700051127,19566459617280.00,550941360128.0,20117400322048.0
2322300164127,11457613791232.00,266686578688.0,11724300222464.0
4061200152124,14775733977088.00,168446066688.0,14944180371456.0
4089200034137,10770427412480.00,61392105472.0,10831819440128.0
774000054124,13258628005888.00,396007604224.0,13654635315200.0
3579500070134,12105755394048.00,270060601344.0,12375816142848.0
6232300107137,14387999932416.00,156192161792.0,14544191619072.0
1755500095127,12064108052480.00,305535811584.0,12369644224512.0
3949200146137,16753437442048.00,146266882048.0,16899704356864.0
3135700169131,10715764097024.00,171595677696.0,10887359365120.0
4214400042134,12938552279040.00,187239071744.0,13125791252480.0
90300176121,12199462436864.00,181265203200.0,12380727672832.0
4807700159127,10166535716864.00,184500092928.0,10351035809792.0
693400083131,18517755691008.00,290805612544.0,18808561467392.0
297800188127,11946973724672.00,370875760640.0,12317849812992.0
977000177127,13289854599168.00,171428085760.0,13461283143680.0
7365200068127,13378330296320.00,385516077056.0,13763846602752.0
4400600079121,19111067254784.00,359604715520.0,19470672199680.0
3500300069131,10020768972800.00,127172141056.0,10147941318656.0
722800064131,22977997438976.00,1008587964416.0,23986584944640.0
5557400112127,17828161781760.00,174753890304.0,18002915360768.0
2979900100131,35265779335168.00,1120668614656.0,36386447032320.0
512000041137,10156124405760.00,119983284224.0,10276107714560.0
6937200052137,59175660945408.00,700527673344.0,59876189405184.0
1578900189134,12857882181632.00,163924574208.0,13021807116288.0
5658300034124,13024426459136.00,286324621312.0,13310750621696.0
4103400051137,24474286030848.00,463046541312.0,24937332998144.0
766100095134,12863087312896.00,145786585088.0,13008873979904.0
911200176134,10585615892480.00,142336507904.0,10727952744448.0
3578400144124,22592865959936.00,681240363008.0,23274106912768.0
4352600178131,11465422536704.00,308945551360.0,11774367629312.0
1292300100124,11140050452480.00,319683297280.0,11459734011904.0
2435300093134,11645027876864.00,370215911424.0,12015243362304.0
5469900171131,11072372211712.00,240420536320.0,11312792862720.0
2957800156124,10046798823424.00,85958066176.0,10132756889600.0
7027000082137,10208183058432.00,163012247552.0,10371195731968.0
