halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
4900192347,43007445303296.00,556252790784.0,43563698094080.0
63700077392,26912585940992.00,257431420928.0,27170017640448.0
407600110382,10728779022336.00,42129248256.0,10770908708864.0
87000025382,20227427401728.00,160704610304.0,20388132159488.0
34300048347,136228510892032.00,1103644852224.0,137332158103552.0
736800096355,15964957573120.00,265361653760.0,16230319652864.0
144900181331,11689278832640.00,310457171968.0,11999735971840.0
702100137331,24973917814784.00,360164556800.0,25334082699264.0
486500143355,30881003601920.00,316183805952.0,31197187014656.0
763800027338,17737084567552.00,322082996224.0,18059167268864.0
481800026331,10575203532800.00,114873909248.0,10690077130752.0
1012800179338,14851198943232.00,202093215744.0,15053292044288.0
345700156331,128786750242816.00,1460006420480.0,130246753910784.0
410000027338,18481323966464.00,379451211776.0,18860774260736.0
640900141355,18960137322496.00,652988907520.0,19613125443584.0
1117500142331,10913590542336.00,29042141184.0,10942632951808.0
317600059382,17841174609920.00,220796600320.0,18061971161088.0
200900084331,27940471439360.00,312136925184.0,28252607348736.0
119700155373,16134103367680.00,136621154304.0,16270724431872.0
927700155338,94710513270784.00,727471620096.0,95437981745152.0
167900158401,11051548540928.00,303584903168.0,11355133313024.0
375700158365,44761356435456.00,482621161472.0,45243978219520.0
479500070347,12878700609536.00,122425794560.0,13001126051840.0
476200141355,16032615890944.00,350192107520.0,16382807769088.0
17900153421,11345685643264.00,194649456640.0,11540334903296.0
35400085401,12735577325568.00,139442290688.0,12875020107776.0
210400142373,10005151481856.00,101122105344.0,10106274054144.0
51100044382,19332258070528.00,258746171392.0,19591004684288.0
441600044347,20609958412288.00,524602933248.0,21134560985088.0
13000182355,25143061512192.00,216168628224.0,25359229648896.0
136500166365,9986930376704.00,114509512704.0,10101440118784.0
225500181373,10130094555136.00,84495261696.0,10214589857792.0
709300047338,13248218791936.00,152956092416.0,13401174573056.0
558000155355,15626667032576.00,364123193344.0,15990790291456.0
136800156411,10372170907648.00,67724505088.0,10439895285760.0
854200144338,13508442849280.00,183243784192.0,13691686748160.0
309800182365,14278705807360.00,154617987072.0,14433323581440.0
1007100097338,11777779695616.00,156450684928.0,11934230380544.0
41700141432,12553420800000.00,195597090816.0,12749017972736.0
335500158338,14341160042496.00,241974411264.0,14583134683136.0
156800082365,17450836951040.00,441823985664.0,17892661788672.0
324200056365,16800277331968.00,394389192704.0,17194666688512.0
300170487,11957385035776.00,165441290240.0,12122826211328.0
143200192411,14960493068288.00,190226563072.0,15150719434752.0
654400140323,11192109105152.00,528716480.0,11192637587456.0
441100051373,10528350011392.00,207705800704.0,10736056139776.0
342500052331,10728779022336.00,19853705216.0,10748632760320.0
358600115365,11913135128576.00,337893326848.0,12251028258816.0
53500192442,10869340635136.00,35813634048.0,10905154748416.0
341300111347,15028151386112.00,104107851776.0,15132259254272.0
87300125382,19222962896896.00,218451329024.0,19441414832128.0
3900166421,31341598998528.00,288407388160.0,31630005633024.0
383100048338,51881120366592.00,795779006464.0,52676901470208.0
